,Timestamp,Are you openly identified at work as a person with a mental health issue?,Are you self-employed?,Did you ever discuss your mental health with a previous coworker(s)?,Did you ever discuss your mental health with your previous employer?,Did you ever have a previous coworker discuss their or another coworker's mental health with you?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health disorders and how to seek help?,Do you currently have a mental health disorder?,Do you have a family history of mental illness?,Do you have previous employers?,Do you know the options for mental health care available under your employer-provided health coverage?,Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Does your employer provide mental health benefits as part of healthcare coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Have you ever discussed your mental health with coworkers?,Have you ever discussed your mental health with your employer?,Have you ever had a coworker discuss their or another coworker's mental health with you?,Have you ever sought treatment for a mental health disorder from a mental health professional?,Have you had a mental health disorder in the past?,Have you observed or experienced a supportive or well handled response to a mental health issue in your current or previous workplace?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health issue made you less likely to reveal a mental health issue yourself in your current workplace?,Have your previous employers provided mental health benefits?,How many employees does your company or organization have?,How willing would you be to share with friends and family that you have a mental illness?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?","If they knew you suffered from a mental health disorder, how do you think that your team members/co-workers would react?","If you have a mental health disorder, how often do you feel that it interferes with your work when NOT being treated effectively (i.e., when you are experiencing symptoms)?","If you have a mental health disorder, how often do you feel that it interferes with your work when being treated effectively?",Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,"Overall, how much importance did your previous employer place on mental health?","Overall, how much importance did your previous employer place on physical health?","Overall, how much importance does your employer place on mental health?","Overall, how much importance does your employer place on physical health?","Overall, how well do you think the tech industry supports employees with mental health issues?",Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Was your employer primarily a tech company/organization?,Were you aware of the options for mental health care provided by your previous employers?,What country do you live in?,What country do you work in?,What is your age?,What is your gender?,What is your race?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up your mental health with a potential employer in an interview?,Would you feel comfortable discussing a mental health issue with your coworkers?,Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?,Would you feel more comfortable talking to your coworkers about your physical health or your mental health?,Would you have been willing to discuss your mental health with your coworkers at previous employers?,Would you have been willing to discuss your mental health with your direct supervisor(s)?,Would you have felt more comfortable talking to your previous employer about your physical health or your mental health?
48,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,3,7,1,4,1,1,2,1,1,3,9,4,8,3,0,1,3,21,20,26,1,3,0,0,0,2,0,0,1,1
50,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,3,2,1,2,0,10,4,10,2,2,2,1,1,6,10,7,9,3,0,1,0,38,39,26,0,3,1,2,2,1,2,0,2,1
51,1,0,0,1,0,0,2,1,0,2,1,0,2,2,0,0,0,0,1,3,0,1,0,2,5,3,2,3,4,4,1,1,1,5,7,5,7,4,3,1,0,52,54,35,0,3,0,0,2,1,2,0,2,2
52,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,2,0,0,2,0,6,5,6,1,1,2,1,1,2,5,2,5,1,0,1,0,52,54,45,1,3,0,0,2,2,1,0,1,1
58,1,0,0,0,0,0,2,2,3,1,1,0,0,2,0,0,0,0,1,1,1,2,1,2,0,2,1,3,2,4,2,1,1,6,8,2,10,1,3,0,4,52,54,33,0,3,2,0,0,0,1,1,2,2
59,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,3,1,2,2,1,3,3,2,4,3,4,2,1,1,3,5,3,7,3,0,1,1,10,15,32,1,3,0,0,2,0,1,1,1,1
60,1,0,0,0,0,0,2,2,1,2,1,1,0,1,2,0,1,0,0,3,3,3,3,0,3,5,4,3,2,3,2,1,1,7,8,5,5,2,0,1,2,52,54,26,0,2,0,0,0,0,1,1,1,1
61,1,0,0,1,0,0,2,1,1,1,1,1,2,1,0,0,0,0,1,1,1,3,1,2,1,8,3,4,2,3,2,1,1,2,7,3,4,2,0,1,0,52,54,50,1,3,1,0,2,2,1,0,1,1
62,1,0,0,1,1,0,2,1,1,1,1,1,2,2,2,0,0,0,1,1,2,1,3,0,1,10,4,8,1,3,2,1,1,9,9,8,9,4,0,1,2,52,54,31,1,3,2,0,1,1,1,0,2,2
63,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,2,1,2,2,0,7,4,6,2,3,1,1,1,4,4,4,7,2,1,0,0,52,54,30,1,3,2,0,2,0,1,0,1,2
64,1,0,0,1,1,1,2,1,1,2,1,0,2,1,0,0,0,1,1,1,3,1,0,2,3,7,3,7,2,4,2,1,1,5,8,5,8,2,3,0,0,52,54,30,1,3,2,0,2,2,1,0,2,1
65,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,3,3,3,1,1,7,2,6,2,3,2,1,1,6,8,4,8,3,2,1,0,16,15,34,1,3,2,2,2,1,1,1,2,1
67,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,2,2,0,3,3,8,3,5,2,4,0,1,1,8,9,6,8,3,0,1,4,52,54,24,0,3,2,0,2,2,1,0,2,0
68,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,3,1,4,4,6,2,3,2,1,1,3,8,6,10,2,0,1,0,52,54,31,0,3,0,0,0,0,1,1,1,1
69,1,0,0,0,0,0,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,3,4,3,2,1,1,6,2,6,2,3,0,1,1,14,13,31,1,3,1,0,2,0,1,1,1,1
70,1,1,0,1,0,1,1,0,1,1,1,1,2,1,0,1,1,1,1,1,3,2,1,0,1,6,4,3,2,4,2,1,1,0,2,4,5,2,0,1,2,52,54,27,0,3,2,2,1,2,1,1,1,1
72,1,0,0,0,0,0,1,0,3,2,1,0,2,0,0,0,0,0,0,2,1,3,3,0,4,0,1,0,2,3,2,1,1,0,0,5,4,2,1,1,1,52,54,37,1,3,2,0,0,0,1,1,1,1
74,1,0,0,0,0,0,1,0,1,1,1,1,2,1,2,1,1,1,1,0,2,0,0,1,3,8,4,7,4,3,2,1,1,2,7,5,7,4,0,0,2,52,54,34,1,3,0,0,2,1,1,0,2,1
75,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,3,1,3,1,3,3,3,0,0,4,3,2,1,1,5,5,5,5,1,1,1,4,16,15,38,0,3,0,0,0,0,2,1,1,1
76,1,0,0,0,1,0,1,0,3,2,1,0,2,2,0,0,0,0,1,0,1,3,3,2,0,8,2,3,4,3,1,1,1,3,6,5,4,2,0,1,0,52,54,30,1,3,2,0,2,2,1,0,2,1
79,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,2,2,1,2,3,8,1,6,2,2,1,1,1,4,6,5,8,2,3,1,0,52,54,44,1,3,1,0,2,1,1,0,2,1
80,1,1,0,0,0,0,1,1,1,1,1,2,2,3,1,1,1,1,1,1,2,3,0,2,3,10,5,9,4,3,1,1,1,7,10,7,7,1,3,1,0,1,1,42,1,3,0,0,1,1,2,1,2,1
82,1,0,0,1,1,0,1,0,1,2,1,0,1,1,1,1,1,1,1,1,0,1,3,1,1,10,5,6,4,0,2,1,0,0,0,7,6,2,0,0,1,52,54,29,1,3,0,2,1,1,2,0,0,1
83,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,3,4,4,5,2,3,1,1,1,3,6,7,9,3,2,1,0,52,54,39,1,3,2,0,2,2,1,1,1,1
84,1,0,0,0,0,1,2,0,0,1,1,1,0,1,1,1,1,0,1,0,3,3,0,2,1,6,5,8,1,1,1,1,1,5,5,5,5,2,0,1,3,52,54,40,0,3,2,0,0,1,1,1,2,1
85,1,0,0,0,1,1,2,1,3,1,1,1,1,1,1,1,0,1,1,1,2,0,0,2,3,8,1,5,4,4,1,1,1,6,5,4,7,4,0,0,0,52,54,36,0,2,2,2,2,2,1,0,2,1
86,1,0,0,0,0,1,1,0,2,0,1,1,1,1,1,0,0,1,0,2,3,0,0,2,3,7,4,5,1,1,1,1,1,2,2,7,7,3,0,1,0,52,54,43,1,3,2,2,2,1,2,0,2,2
87,1,0,0,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,1,2,1,3,2,2,2,4,1,1,1,6,8,6,8,2,0,1,0,52,54,38,1,3,2,0,2,2,1,0,2,1
88,1,0,0,0,0,0,2,1,0,2,1,0,0,2,0,0,0,0,1,1,1,1,0,2,0,6,4,7,1,1,2,1,1,6,6,6,6,3,3,0,0,52,54,42,1,3,2,2,1,1,2,0,2,2
89,1,1,0,0,0,0,2,1,1,2,1,2,1,0,1,1,1,1,1,3,0,2,2,1,2,7,2,6,2,4,1,1,1,3,8,5,8,1,2,1,2,51,53,46,1,3,1,1,1,2,1,0,2,1
91,1,0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,1,0,0,3,0,3,2,2,7,5,5,1,1,1,1,1,3,5,9,9,3,0,1,3,6,7,28,1,3,2,0,2,2,2,0,2,1
92,1,0,0,0,0,0,1,0,3,1,1,1,0,1,0,1,0,1,1,3,3,3,1,3,1,8,2,5,1,1,2,1,1,0,5,5,5,2,1,1,4,16,15,24,0,3,2,1,1,2,2,0,1,1
93,1,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,1,1,0,1,4,6,0,5,1,1,2,1,1,3,3,6,3,4,0,1,1,51,53,26,1,3,2,2,0,1,1,1,1,1
94,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,2,2,1,2,3,8,4,3,2,4,2,1,1,1,5,1,5,2,3,1,0,52,54,43,1,3,2,0,2,2,1,1,2,1
97,1,0,0,1,0,1,1,0,0,0,1,1,2,1,1,1,0,1,0,0,0,0,3,0,0,6,5,4,1,1,1,1,1,4,5,8,8,3,0,0,2,52,54,28,0,2,2,0,1,0,1,0,2,1
98,1,0,0,1,0,1,1,0,1,2,1,2,0,0,0,1,1,1,1,3,0,2,0,1,0,8,3,4,2,4,1,1,1,4,4,5,5,3,0,1,1,44,45,27,1,3,1,2,2,1,1,0,2,1
99,1,1,0,1,1,0,1,0,1,2,1,0,0,2,0,1,1,0,1,1,0,2,2,0,3,7,1,5,4,4,2,1,1,4,6,3,5,2,0,1,2,52,54,54,1,3,1,1,1,0,1,0,2,1
101,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,2,1,0,1,3,7,5,5,1,1,2,1,1,3,6,5,8,3,0,1,1,47,49,33,1,3,1,1,1,1,2,1,3,2
102,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,2,1,0,2,1,10,4,5,2,3,1,1,1,2,7,3,6,2,0,1,0,52,54,30,1,3,0,0,1,1,2,3,2,1
104,1,0,0,1,1,0,1,0,3,1,1,0,1,2,2,1,1,0,1,3,1,1,0,2,3,4,4,5,2,4,1,1,1,6,6,3,6,3,0,1,0,52,54,35,1,3,2,2,1,1,1,0,2,2
106,1,0,0,0,0,0,1,0,3,1,1,1,0,1,0,1,0,1,0,3,3,0,3,3,2,6,4,7,1,1,1,1,1,5,6,7,8,3,0,1,0,52,54,25,1,3,2,0,2,2,1,3,2,1
107,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,2,2,3,9,4,5,4,0,2,1,1,5,5,5,5,2,3,1,4,45,46,48,1,3,1,0,2,0,1,1,1,1
109,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,3,1,0,1,3,0,3,4,3,2,1,1,0,0,1,2,1,0,0,2,52,54,42,1,3,0,0,0,0,1,1,1,1
110,1,0,0,1,1,0,2,1,1,2,1,1,2,1,0,1,0,1,1,1,1,3,0,3,0,7,5,3,2,3,2,1,1,7,7,4,5,3,3,0,0,52,54,27,0,0,0,0,1,2,1,0,3,1
111,1,0,0,0,0,1,2,1,3,2,1,0,0,1,0,0,0,1,0,3,0,0,3,2,2,3,1,5,3,4,2,1,1,6,6,3,4,1,2,1,0,52,54,48,1,3,0,0,1,0,2,0,2,2
112,1,0,0,0,0,0,2,1,1,2,1,1,0,1,0,1,1,0,1,1,2,0,1,2,3,7,4,4,2,4,1,1,1,3,8,3,5,2,2,0,0,52,54,32,0,3,2,0,2,2,2,0,2,2
113,1,0,0,1,0,0,1,0,1,1,1,0,2,1,1,1,1,1,1,1,3,0,0,2,1,9,3,9,2,4,2,1,1,6,8,6,7,2,0,1,2,52,54,29,1,3,0,0,1,2,2,0,2,1
115,1,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,5,7,1,8,1,1,2,1,1,9,7,5,6,3,3,1,4,19,18,29,0,3,2,0,0,0,1,1,1,0
117,1,0,0,0,0,0,1,0,1,2,1,1,1,1,1,1,0,0,1,3,3,0,0,2,2,7,4,6,2,3,2,1,1,2,4,10,10,3,0,0,1,52,54,39,0,3,2,0,1,1,2,0,2,1
118,1,0,0,1,0,1,2,1,3,1,1,0,0,1,0,1,0,1,1,3,0,3,0,2,5,5,3,5,2,4,2,1,1,1,1,5,5,2,3,0,3,6,7,29,0,3,2,0,1,1,2,0,2,1
120,1,0,0,0,1,0,0,0,3,0,1,1,0,1,0,0,0,0,1,3,0,1,0,3,5,8,1,8,2,4,2,1,1,2,2,2,2,4,0,1,4,52,54,28,1,3,2,2,2,1,2,1,3,2
121,1,0,0,1,1,0,2,1,3,2,1,0,0,2,0,1,0,0,1,1,1,1,0,2,0,9,4,6,4,3,2,1,1,5,5,5,5,3,3,1,4,5,6,30,1,3,0,0,1,1,2,0,2,2
122,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,3,1,1,6,2,4,1,1,1,1,1,4,6,5,7,3,3,1,1,25,24,31,1,3,2,0,1,1,1,0,2,1
123,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,5,7,1,1,1,1,1,0,4,0,7,1,0,1,1,39,40,36,1,3,0,0,2,0,2,1,1,1
124,1,0,0,0,0,0,2,0,0,1,1,0,0,2,0,1,1,1,0,0,1,1,0,2,5,5,2,5,1,1,1,1,1,6,6,7,7,3,3,1,0,0,0,37,1,3,2,2,2,1,1,0,2,1
125,1,0,0,0,1,0,1,0,0,0,1,1,2,1,0,0,1,0,0,0,0,1,0,0,0,8,4,8,1,1,1,1,1,7,7,7,7,3,3,1,2,52,54,37,1,4,2,2,2,1,2,0,2,1
126,1,0,0,1,1,1,1,0,0,0,1,1,0,3,0,1,1,1,1,3,1,1,0,0,0,10,4,5,3,3,1,1,1,2,0,2,0,1,3,1,4,45,46,37,1,3,0,0,2,2,1,0,2,1
127,1,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,0,1,0,0,1,1,3,0,0,0,5,0,1,1,2,1,1,0,8,3,3,1,0,0,2,5,6,37,1,3,0,0,0,0,1,1,2,1
128,1,0,0,0,0,0,1,0,2,0,1,0,0,2,0,0,0,0,0,0,1,1,3,0,1,6,3,3,1,1,2,1,1,5,5,5,6,2,0,1,1,19,2,33,1,3,1,2,0,0,1,1,2,1
129,1,1,0,0,0,1,2,2,0,0,1,0,0,1,0,0,0,0,0,0,3,1,0,3,2,9,5,2,0,1,2,1,1,4,7,4,7,5,3,1,4,52,54,47,0,3,1,0,0,0,1,1,1,1
130,1,0,0,1,0,1,2,1,1,1,1,1,2,1,0,1,1,1,1,1,3,3,0,0,1,6,1,8,2,2,2,1,1,4,5,3,7,2,0,0,2,52,54,26,1,3,0,0,2,2,1,0,0,1
131,1,1,0,0,0,0,1,0,1,2,1,1,0,1,1,1,1,1,1,3,2,3,0,3,3,2,2,7,2,4,0,1,1,2,4,4,7,2,0,1,0,52,54,29,1,3,0,0,1,0,1,0,1,2
